usaf,wban,usafwban,station_id,station_name,ct,st,call_1,lat,lon,elev,begin_date,end_date
724118,99999,724118-99999,72411899999,MECKLENBURG BRUNSWI,US,VA,KAVC,36.683,-78.05,135,19970123,20071231
720285,3734,720285-3734,72028503734,MIDDLE PENINSULA REGIONAL AIR,US,VA,KFYJ,37.521,-76.765,7.3,20060101,20181023
720285,99999,720285-99999,72028599999,MIDDLE PENINSULA RGN,US,VA,KFYJ,37.517,-76.767,7,20040525,20071231
997305,99999,997305-99999,99730599999,MONEY POINT  VA,US,VA,,36.77,-76.3,10,20070101,20180425
724056,99999,724056-99999,72405699999,MOUNTAIN EMPIRE,US,VA,KMKJ,36.895,-81.35,780,19950423,20071231
724056,63805,724056-63805,72405663805,MOUNTIAN EMPIRE AIRPORT,US,VA,KMKJ,36.895,-81.35,780,20060101,20181023
725172,13762,725172-13762,72517213762,NAVAL AUXILIARY LANDING FIELD,US,VA,KNFE,36.695,-76.136,4.9,20070601,20181023
724116,13868,724116-13868,72411613868,NEW RIVER VALLEY AIRPORT,US,VA,KPSK,37.133,-80.683,641.6,19940818,20181023
723086,99999,723086-99999,72308699999,NEWPORT NEWS WILLIA,US,VA,KPHF,37.133,-76.483,13,19730101,19991231
723077,99999,723077-99999,72307799999,NORFOLK / CHESAPEAK,US,VA,,36.9,-75.72,23,19750916,19840107
999999,93731,999999-93731,99999993731,NORFOLK FLEET WF NAS,US,VA,,36.95,-76.3,10.1,19580501,19620801
723080,13737,723080-13737,72308013737,NORFOLK INTERNATIONAL AIRPORT,US,VA,KORF,36.903,-76.192,9.1,19730101,20181023
723085,13750,723085-13750,72308513750,NORFOLK NAS,US,VA,KNGU,36.937,-76.289,5.2,19730101,20181023
999999,13750,999999-13750,99999913750,NORFOLK NAS,US,VA,KNGU,36.95,-76.283,4.9,19450201,19721231
999999,13737,999999-13737,99999913737,NORFOLK REGIONAL ARPT,US,VA,KORF,36.903,-76.192,9.1,19480101,19721231
723086,93741,723086-93741,72308693741,NWPT NEWS/WIMBURG INTL APT,US,VA,KPHF,37.132,-76.493,12.8,20000101,20181023
723075,13769,723075-13769,72307513769,OCEANA NAS,US,VA,KNTU,36.817,-76.033,7,19730101,20181023
999999,13769,999999-13769,99999913769,OCEANA NAS,US,VA,KNTU,36.817,-76.033,6.7,19450301,19721231
722167,99999,722167-99999,72216799999,ORANGE CO,US,VA,KOMH,38.25,-78.05,142,19420401,20071231
722167,3718,722167-3718,72216703718,ORANGE COUNTY AIRPORT,US,VA,KOMH,38.247,-78.046,143,20060101,20181023
724027,99999,724027-99999,72402799999,PARRAMORE BEACH,US,VA,,37.53,-75.62,1,19750916,19940630
999999,13868,999999-13868,99999913868,PULASKI,US,VA,KPSK,37.133,-80.683,641.6,19490101,19550101
724035,13773,724035-13773,72403513773,QUANTICO MCAF,US,VA,KNYG,38.504,-77.305,3.1,19730101,20181023
999999,13773,999999-13773,99999913773,QUANTICO MCAS,US,VA,KNYG,38.5,-77.3,3.7,19450201,19721231
997308,99999,997308-99999,99730899999,RAPPAHANNOCK LGT,US,VA,,37.53,-76.02,10,20070101,20180425
724029,93775,724029-93775,72402993775,RICHMOND (ASOS),US,VA,KOFP,37.708,-77.434,62.5,20070101,20121231
724029,99999,724029-99999,72402999999,RICHMOND (ASOS),US,VA,,37.7,-77.433,63,19970318,19970318
724010,13740,724010-13740,72401013740,RICHMOND INTERNATIONAL AIRPOR,US,VA,KRIC,37.512,-77.323,50,19420924,20181023
999999,13740,999999-13740,99999913740,RICHMOND INTL AP,US,VA,KRIC,37.505,-77.32,49.7,19480101,19721231
724110,13741,724110-13741,72411013741,ROANOKE REGIONAL/WOODRUM FIEL,US,VA,KROA,37.317,-79.974,358.1,19730101,20181023
999999,13741,999999-13741,99999913741,ROANOKE WOODRUM ARPT,US,VA,KROA,37.317,-79.974,358.4,19480101,19721231
724050,13743,724050-13743,72405013743,RONALD REAGAN WASHINGTON NATL,US,VA,KDCA,38.847,-77.035,3.1,19360901,20181023
